,date,city_1,country_1,city_2,country_2,working,source,lat_x,lng_x,same,duration_days,min_date,max_date,lat_y,lng_y,returns
117,1950-01-15,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
118,1950-01-15,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
119,1950-01-15,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
120,1950-01-16,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
121,1950-01-16,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
122,1950-01-16,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
123,1950-01-16,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
124,1950-01-16,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
125,1950-01-16,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
126,1950-01-16,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
127,1950-01-16,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
128,1950-01-17,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
129,1950-01-17,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
130,1950-01-17,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
131,1950-01-17,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
132,1950-01-17,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
133,1950-01-17,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
134,1950-01-17,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
135,1950-01-17,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
136,1950-01-18,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
137,1950-01-18,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
138,1950-01-18,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
139,1950-01-18,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
140,1950-01-18,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
141,1950-01-18,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
142,1950-01-18,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
143,1950-01-18,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
144,1950-01-19,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
145,1950-01-19,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
146,1950-01-19,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
147,1950-01-19,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
148,1950-01-19,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
149,1950-01-19,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
150,1950-01-19,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
151,1950-01-19,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
152,1950-01-20,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
153,1950-01-20,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
154,1950-01-20,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
155,1950-01-20,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
156,1950-01-20,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
157,1950-01-20,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
158,1950-01-20,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
159,1950-01-20,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
160,1950-01-21,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
161,1950-01-21,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
162,1950-01-21,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
163,1950-01-21,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
164,1950-01-21,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
165,1950-01-21,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
166,1950-01-21,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
167,1950-01-21,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
168,1950-01-22,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
169,1950-01-22,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
170,1950-01-22,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
171,1950-01-22,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
